authorMeta/digg,authorMeta/fans,authorMeta/heart,webVideoUrl,isAd,isSponsored,playCount,diggCount,commentCount,shareCount,videoMeta/duration,videoMeta/subtitleLinks/1/downloadLink,text
843,8649,58200,https://www.tiktok.com/@hienkido_daotaophiendich/video/7207018242332839170,FALSE,FALSE,12300,69,19,30,70,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-hienkido_d-20230305111146-7207018242332839170-vie-VN,Review khách sạn con nhộng sân bay Kansai phòng thương gia#khachsan #khachsanconnhong #hotelcabin #kansaiairport #reviewkhachsan  
1829,377,2333,https://www.tiktok.com/@royals.home/video/7386181438779051281,FALSE,FALSE,1283,10,1,0,55,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-royalshome-20240630063630-7386181438779051281-vie-VN,Tiêu chí chọn khách sạn của Anh Chị như thế nào?  KHÁCH SẠN THE ROYAL VISTA Thuộc hệ thống khách sạn THE ROYAL - PHÚ MỸ HƯNG ☘️ #reviewkhachsan #dulichsaigon #khachsanquan7 #khachsanphumyhung #khachsantheroyalphumyhung #dulich 
1829,377,2333,https://www.tiktok.com/@royals.home/video/7408445523327192321,FALSE,FALSE,2268,22,3,5,59,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-royalshome-20240829063228-7408445523327192321-vie-VN,Xem hết video để biết lý do vì sao nên chọn Phú Mỹ Hưng là nơi nghỉ dưỡng ☘️  #phonggiarequan7 #khachsantheroyalphumyhung #khachsanquan7 #reviewkhachsanquan7 #dichvukhachsan #phongdep #reviewkhachsan #phumyhung #khachsantheroyalphumyhung 
15800,200300,9900000,https://www.tiktok.com/@minhphat.foodaholic/video/7401826073710841095,FALSE,FALSE,851700,21400,516,6368,84,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-minhphatfo-20240811102533-7401826073710841095-vie-VN,Khách sạn có bồn tấm view biển đẹp nhất Vũng Tàu. #learnontiktok #minhphatreview #reviewkhachsan #MCV 
3753,59900,340100,https://www.tiktok.com/@mynbabie/video/7418178421445987591,FALSE,FALSE,308200,2951,293,1705,29,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-mynbabie-20240924120100-7418178421445987591-vie-VN,"Một trong những resort mà Myn rất thích, tiêu chuẩn 4 sao lại còn ngay trung tâm thành phố rất tiện luôn  #dalat #reviewdalat #xh #dulich #dalatreview #mercuredalatresort #mynbabie "
8847,32200,1000000,https://www.tiktok.com/@dannie.linhdan_/video/7338423237543546114,FALSE,FALSE,1200000,29900,671,4100,70,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-dannielinh-20240222135011-7338423237543546114-vie-VN,Khach sạn đỉnh nhất Vũng Tàu trong lòng toai😋 #dannielinhdan #learnontiktok #theimperialhotel #vungtau #khachsanvungtau #5sao #reviewkhachsan 
3753,59900,340100,https://www.tiktok.com/@mynbabie/video/7420776857169136903,FALSE,FALSE,246800,4803,435,1876,37,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-mynbabie-20241001120415-7420776857169136903-vie-VN,Khách sạn sát biển Vũng Tàu chỉ 99 cành/người  #xh #dulich #vungtau #reviewvungtau #bellavthotel  #khachsanvungtau #mynbabie #travel 
47,400,6983,https://www.tiktok.com/@hotel.anh.th/video/7468605017998494994,FALSE,FALSE,116800,4568,823,577,27,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-hotelanhth-20250207092159-7468605017998494994-vie-VN,Giá phòng chỉ từ 350. Khách sạn mới thoáng mát #fyp #khachsanphanthietgiare #xuhuong #hotelphanthiet #phanthietodau #khachsanganbien #khachsangiare #hotel #beachvibes 
13300,672400,14400000,https://www.tiktok.com/@anchoivungtau72/video/7501225796523134215,FALSE,FALSE,43800,904,37,187,60,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-anchoivung-20250506070716-7501225796523134215-vie-VN,Khách sạn view biển Vũng Tàu nằm ngay đối diện công viên Bãi Sau đang hot #vungtau #anchoivungtau72 #vungtaureview #fyp #dulichvungtau #dulichtinhbariavungtau #xuhuong #khachsanvungtau #khachsanhoangphat #khachsan 
16,34,152,https://www.tiktok.com/@huylonton_/video/7337487373166595346,FALSE,FALSE,2849,26,7,7,118,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-huylonton_-20240220011843-7337487373166595346-vie-VN,#huylonton #review #khachsan #hotelroom #hotel #phuquocisland 
1713,2727,37400,https://www.tiktok.com/@yeudanang24/video/7489796024127524102,FALSE,FALSE,609100,4464,276,746,56,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-yeudanang2-20250405115355-7489796024127524102-vie-VN,1 em khách sạn xinh yêu cho team sắp đi Đà Nẵng nè #danang #dulichdanang #reviewdanang #Danang24 #dulich #khachsandanang #reviewdulich 
877,817,5413,https://www.tiktok.com/@ainhotelvn/video/7480139229096348936,FALSE,FALSE,53100,826,67,176,44,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-ainhotelvn-20250310112035-7480139229096348936-vie-VN,Cùng Lướt Qua căn phòng Lúc Nào cũng Full tại Ain Hotel Quận 4 xem có gì Đặt Biệt #ainhotelvietnam #khachsan #hotel #khachsantphcm #TpHCM 
992,12700,43700,https://www.tiktok.com/@lacadanang.tiktok/video/7497989248482610439,FALSE,FALSE,30500,353,129,125,75,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-lacadanang-20250427134747-7497989248482610439-vie-VN,Đi chơi ĐN hè này cả nhà chưa chọn đc ksan nào thì nhớ xem hết video này để lựa chọn đc khách sạn zá tốt và ưng ý nha #lacadanang #travel2025 #tiktok #dulichdanang2025 #2025 #locatravel #dulichdanang #fromdanang #summerdanang2025 #chaohe2025 #he2025 #danang #khachsandanang #hotelindanang 
1037,68500,1100000,https://www.tiktok.com/@khachsanbluesea/video/7500529806774177031,FALSE,FALSE,168600,1867,96,375,19,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-khachsanbl-20250504100627-7500529806774177031-vie-VN,Đi Vũng Tàu tắm biển đi 🥰 #tambienvungtau #vungtau #divungtau #reviewvungtau #dulichvungtau #reviewkhachsanvungtau #baisauvungtau🏖🏖🏖🌅🌅🌅 #baisauvungtau🏖🏖🏖🌅🌅 #bienvungtau #bienvungtau🌊 #bienvungtau🏊🏊🏊 #bienvungtau🌊🌊 #dulichtinhbariavungtau #xuhuong 
13300,672400,14400000,https://www.tiktok.com/@anchoivungtau72/video/7489125187917663494,FALSE,FALSE,553800,9533,689,3584,82,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-anchoivung-20250403163042-7489125187917663494-vie-VN,Khách sạn view biển đối diện Bãi Sau Vũng Tàu #anchoivungtau72 #dulichtinhbariavungtau #vungtau #xuhuong #fyp #dulichvungtau #dulich #khachsanhoangphat #khachsan #khachsanvungtau #khachsanviewbien 
4249,10700,35900,https://www.tiktok.com/@trunglereview/video/7410817377555827969,FALSE,FALSE,181300,2112,399,1315,86,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-trunglerev-20240904155635-7410817377555827969-vie-VN,Resort siêu rẻ tại Hồ Tràm bạn biết chưaaaaa  #reviewkhachsanvungtau #khachsanvungtau #homestayvungtau #xuhuong #dulichvungtau #vungtau #hotram #dulichhotram #vietsovpetroresort 
225,66500,649300,https://www.tiktok.com/@riviuphanthiet/video/7254130353307143430,FALSE,FALSE,440000,5404,231,2041,87,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-riviuphant-20230710101042-7254130353307143430-vie-VN,Một chiếc khách sạn view biển xịn xò ngay trung tâm Phan Thiết chỉ 5.0.0k thôi  #riviuphanthiet #reviewphanthiet #khachsanviewbien #khachsanphanthiet #blueoceanhotel #dulichphanthiet #biển #xuhuongtiktok #phanthiet #foryou #fyp 
1713,2727,37400,https://www.tiktok.com/@yeudanang24/video/7495724029962226952,FALSE,FALSE,263100,2815,152,437,46,https://api.apify.com/v2/key-value-stores/QivrEtwtUGf4X1bXg/records/subtitle-yeudanang2-20250421111735-7495724029962226952-vie-VN,+1 khách sạn view biển siêu hạt dẻ cho team sắp đi Đà Nẵng nghỉ lễ nha #dulichdanang #danang #reviewdanang #dulich #khachsandanang #reviewdulich #Danang24 
